# sample_name: ludox_SM30
# config_id: config_10
# transmission: 0.553142
# source_nexus_file: sans-llb2026n001004.nxs
# q I I_error q_error
4.239671140988285902e-01 8.142674021024061126e-01 2.029855113737179598e-02 2.089470794417208621e-02
4.261536423960357589e-01 8.710603256744694489e-01 2.613502129190322168e-02 2.099426715391352130e-02
4.283839978194467490e-01 8.568230029005173831e-01 2.232189459599942180e-02 2.109584067154413739e-02
4.305647820079551713e-01 8.274401828307101914e-01 1.878087032870339942e-02 2.119519729655923099e-02
4.321880219573933091e-01 8.037772231410712509e-01 1.697580121748687443e-02 2.126920408076160562e-02
4.341773490745922115e-01 8.352733896449007212e-01 1.900054305499343857e-02 2.135989068631518120e-02
4.359886190861797517e-01 8.054170667109974424e-01 2.380400707133931495e-02 2.144250384026707285e-02
4.383766230559272281e-01 8.547720159934412143e-01 1.907512160668710377e-02 2.155145844126007959e-02
4.405355512218283587e-01 8.187777901477344411e-01 2.457374194808842685e-02 2.164998463364632697e-02
4.424636338400971813e-01 8.253948869526819276e-01 2.285208739235227923e-02 2.173800640323223995e-02
4.445943994550421441e-01 8.163501832970073702e-01 2.197634195194421783e-02 2.183533492595058842e-02
4.466262740487590421e-01 8.204011544819371782e-01 2.665932445745582829e-02 2.192815037506416764e-02
4.487318416826919787e-01 8.338634916016069987e-01 1.714779386443856732e-02 2.202437748474243839e-02
4.505599479900056492e-01 8.331216861853271149e-01 1.583275807871523458e-02 2.210794608681487111e-02
4.528404163633970581e-01 8.166618690343687703e-01 2.140754634914649943e-02 2.221223576350524198e-02
4.551793721458199382e-01 8.580093290020749386e-01 2.212993054831989548e-02 2.231922160551191511e-02
4.567580075255525118e-01 8.208215278335703191e-01 1.946781295046955129e-02 2.239145432181677969e-02
4.589422454270928875e-01 8.426911352883511563e-01 2.527132106413519305e-02 2.249143639467476516e-02
4.609365308574680520e-01 8.361879802644650583e-01 1.936573456320310471e-02 2.258273247681579984e-02
4.627948272064829061e-01 8.377637896287207786e-01 3.296807650081843427e-02 2.266782853478951920e-02
4.648725036668930888e-01 8.406817900987876291e-01 2.298424286869574229e-02 2.276301141891872576e-02
4.668632428445111948e-01 8.256099006367805249e-01 1.376552992677702002e-02 2.285423082066468520e-02
4.689799848147141459e-01 7.948412014121628566e-01 1.772436234849535802e-02 2.295124659939152406e-02
4.710716311939571743e-01 8.425281182783302958e-01 2.176981554455442724e-02 2.304714305140959790e-02
4.728590235908967654e-01 8.283762577927488158e-01 1.801420348174473385e-02 2.312911351136610547e-02
4.752060429047804679e-01 7.867400011644155589e-01 2.025130760935830304e-02 2.323677330887423051e-02
4.773684241836628761e-01 8.560894176836842950e-01 2.036942752603652235e-02 2.333599653014225422e-02
4.791138536722402974e-01 8.299012704407580099e-01 2.618482252358854748e-02 2.341609710504556283e-02
4.816150072131630266e-01 8.506892778863435201e-01 2.068664363485937449e-02 2.353093285767394321e-02
4.838028874703770854e-01 8.623426632031702121e-01 1.726960300806044957e-02 2.363139965861633940e-02
4.855433501496252968e-01 8.522291577433368515e-01 1.837769807691028850e-02 2.371134951626518300e-02
4.874617057069893233e-01 8.531627472859444339e-01 1.751456713213915203e-02 2.379948406927369711e-02
4.896564639500137761e-01 8.547673353430914611e-01 2.181997598612382683e-02 2.390034729631933252e-02
4.915634524282378459e-01 8.783644786374562585e-01 2.196620091247073955e-02 2.398800434965831646e-02
4.936799171101380890e-01 8.633075925236284309e-01 2.302271925588845330e-02 2.408530697093623843e-02
4.957492151082334431e-01 8.674776382389041141e-01 2.392459611189481916e-02 2.418048273120781272e-02
4.977791928543847111e-01 8.660510683326874126e-01 2.629563793838220198e-02 2.427385016455563607e-02
4.999220923539366979e-01 8.550879185456570220e-01 2.348390325766634701e-02 2.437245604686322231e-02
5.018977091690676184e-01 8.871313259353269531e-01 1.884327821075732975e-02 2.446336962693634529e-02
5.039168463864088787e-01 9.301433795627663814e-01 2.248615400632246464e-02 2.455631095449496010e-02
5.059249105812120284e-01 9.202054423206955658e-01 2.828387195280505570e-02 2.464876499393328299e-02
5.080347480407224614e-01 8.812998539165700640e-01 2.270753385517077297e-02 2.474592557321230249e-02
5.098324469024155814e-01 8.913500262232334492e-01 3.425240597112126639e-02 2.482872784200501962e-02
5.121178678953296481e-01 8.880467419863319334e-01 2.580841001159537088e-02 2.493402107025529529e-02
5.142927675846241664e-01 9.312115690684710234e-01 3.211648323984987730e-02 2.503425580698142791e-02
5.162128613587740888e-01 9.003754531368225456e-01 4.190026340199660970e-02 2.512274678428622413e-02
5.183529832623622324e-01 9.120074937125893788e-01 2.474424511467075011e-02 2.522140901855316267e-02
5.202017075459111073e-01 9.185142734982439938e-01 2.901420683039113851e-02 2.530665462068089691e-02
