# sample_name: ludox_AM20
# config_id: config_10
# transmission: 0.551623
# source_nexus_file: sans-llb2026n001003.nxs
# q I I_error q_error
6.485779548879562484e-02 4.705571580210788696e+00 1.459685159960036061e-01 1.078475291231569683e-02
6.627498163350599436e-02 4.515955387581995772e+00 1.187399537197983135e-01 1.080405206626385874e-02
6.746974023664904785e-02 4.254958007738970593e+00 1.277678383751006952e-01 1.082062038563072134e-02
6.894368178005617909e-02 4.306993953578706069e+00 1.215543246326273447e-01 1.084142828273292405e-02
7.006849995168301648e-02 3.982303122639603732e+00 1.128339946076677702e-01 1.085759594556827239e-02
7.140918376722477090e-02 3.897222117105860306e+00 1.148293555730418442e-01 1.087715653595650034e-02
7.261754174031447018e-02 3.961613697293878911e+00 1.099321465923011887e-01 1.089508287956426034e-02
7.379325881286100119e-02 3.629172931206121611e+00 1.065212758422366124e-01 1.091278479745812560e-02
7.529217921429702531e-02 3.659923922952169395e+00 9.421786545853483297e-02 1.093571586732724685e-02
7.632415073237461267e-02 3.482875127501032786e+00 9.980796862109471423e-02 1.095174238244327365e-02
7.767540522057862773e-02 3.453212814252746288e+00 1.022567137835051071e-01 1.097302237072280036e-02
7.885938216587037863e-02 3.353764393832972424e+00 8.585157132276578784e-02 1.099194222891847553e-02
8.021697912066746983e-02 3.094905726274445268e+00 8.179531728808238367e-02 1.101394349140039780e-02
8.161235058131673104e-02 3.262652665285836751e+00 9.303965715643121304e-02 1.103690212557796591e-02
8.269528307296802883e-02 2.955782057669931628e+00 7.646679338522262281e-02 1.105496666233777257e-02
8.421586522743748637e-02 2.816862084194524218e+00 7.199649189398726890e-02 1.108067614363314121e-02
8.530056449790657247e-02 2.784616421320702528e+00 7.328477751849341026e-02 1.109926231838601063e-02
8.661101313308382232e-02 2.490357778430117630e+00 6.497569292819078968e-02 1.112199458466802543e-02
8.791076200084668724e-02 2.556556797748270604e+00 6.454750703618168661e-02 1.114483879955975067e-02
8.906762788650368634e-02 2.469206804142576761e+00 6.371032935001083586e-02 1.116541389352152143e-02
9.044621883490527869e-02 2.382011485860344724e+00 6.764943996044801844e-02 1.119023845943501079e-02
9.152778588453026887e-02 2.189392735071918672e+00 5.280974193226017910e-02 1.120993417492576957e-02
9.292719327367925108e-02 2.148201372068179626e+00 5.625928065616432605e-02 1.123571948556987936e-02
9.419367864781065525e-02 2.108359234395677628e+00 5.281933750954511536e-02 1.125933737374324763e-02
9.549334452371775750e-02 1.972738560236914518e+00 5.030179765463152486e-02 1.128385920317385299e-02
9.691537509061480538e-02 1.923510941767040183e+00 5.146238766068484544e-02 1.131101279525264201e-02
9.801608371743542047e-02 1.830325354648408620e+00 4.290506835270731928e-02 1.133225945358247444e-02
9.943505975192225288e-02 1.743992377016233775e+00 4.970175019191318960e-02 1.135994178459836211e-02
1.005853025289989155e-01 1.749781101667120531e+00 4.084079717300512918e-02 1.138262698679593302e-02
1.019211100994136671e-01 1.756610420821597351e+00 4.744185125418804577e-02 1.140923989308218790e-02
1.031811763588775244e-01 1.640597227780378420e+00 4.364603285811327615e-02 1.143460681489478006e-02
1.043035957848583578e-01 1.606900834197848349e+00 4.087393821655697923e-02 1.145741439235550829e-02
1.055775302917943970e-01 1.571083233772151422e+00 4.471563984662567381e-02 1.148355086105000943e-02
1.068145621723687322e-01 1.524527154834200537e+00 3.491516015937390360e-02 1.150916581882976963e-02
1.082034024952725770e-01 1.461975042258802482e+00 3.792239002325641789e-02 1.153822100052919949e-02
1.095063558794970859e-01 1.422228504935883153e+00 3.502500257710818021e-02 1.156574877881029126e-02
1.107779155340056360e-01 1.386540590015664209e+00 3.310375881949315785e-02 1.159286869373848776e-02
1.120648560761446644e-01 1.440074875708747149e+00 4.227454646368835472e-02 1.162056776229392768e-02
1.132702596220299673e-01 1.419591933902442538e+00 3.168459098018808207e-02 1.164674480436585398e-02
1.146276299983461366e-01 1.347848081854376767e+00 3.697583937116266650e-02 1.167648615312996858e-02
1.158961025995191296e-01 1.356950651755876480e+00 3.189606309691170316e-02 1.170452561278031295e-02
1.171492221235975600e-01 1.330614699190282746e+00 3.421451267654546102e-02 1.173246565542315246e-02
1.183401298953042774e-01 1.366682761000628465e+00 3.789856061978816998e-02 1.175923550193054209e-02
1.195659606623101778e-01 1.282770233493877532e+00 2.887393274064157384e-02 1.178700242214512743e-02
1.207893235859482800e-01 1.259196900129363694e+00 3.596931954595736919e-02 1.181493346258194466e-02
1.221339590016942145e-01 1.320416992127744216e+00 2.961131589462942873e-02 1.184588844142079982e-02
1.234742120827972967e-01 1.224913064318287725e+00 2.978117084475397081e-02 1.187700378182183873e-02
1.247976493995723857e-01 1.228307403359758743e+00 3.061103826474208950e-02 1.190797653636458883e-02
1.260295585983135513e-01 1.220851557412633293e+00 2.845192659527553958e-02 1.193703014227293600e-02
1.273010241760423600e-01 1.229429504932323836e+00 3.240696249794195599e-02 1.196724666865615211e-02
1.286297128264799194e-01 1.268878154731684749e+00 2.962535822317062528e-02 1.199905496121886177e-02
1.298646528049074989e-01 1.193498425558304765e+00 3.332160000239636766e-02 1.202884845351977899e-02
1.311504874721155511e-01 1.172023022246661883e+00 2.746533458319393856e-02 1.206008932500337964e-02
1.324064083441429396e-01 1.214241328678761223e+00 2.939727014231250865e-02 1.209082125423655354e-02
