# Q I dI dQ
1.144309999999999945e-02 2.133559999999999945e+02 1.454599999999999937e+01 5.758869999999999701e-04
1.154370000000000049e-02 2.334350000000000023e+02 1.572729999999999961e+01 5.785449999999999707e-04
1.164349999999999934e-02 2.536479999999999961e+02 1.615950000000000131e+01 5.810840000000000493e-04
1.173919999999999998e-02 2.020052852609447029e+02 2.119465723638802146e+00 2.770439999999999882e-03
1.174399999999999923e-02 2.882850000000000250e+02 1.648059999999999903e+01 5.835439999999999681e-04
1.184480000000000081e-02 2.783940000000000055e+02 1.583549999999999969e+01 5.859199999999999738e-04
1.194590000000000062e-02 2.878220000000000027e+02 1.577229999999999954e+01 5.883970000000000519e-04
1.204560000000000006e-02 3.056600000000000250e+02 1.687699999999999889e+01 5.915999999999999601e-04
1.214639999999999991e-02 3.016859999999999786e+02 1.678460000000000107e+01 5.947139999999999848e-04
1.222619999999999957e-02 1.882314968537758659e+02 2.013795337465289492e+00 2.771280000000000097e-03
1.224729999999999916e-02 3.113120000000000118e+02 1.705260000000000176e+01 5.977079999999999633e-04
1.234810000000000074e-02 3.124560000000000173e+02 1.698529999999999873e+01 6.005910000000000372e-04
1.244900000000000000e-02 2.931399999999999864e+02 1.678229999999999933e+01 6.033679999999999599e-04
1.254949999999999989e-02 2.789970000000000141e+02 1.711809999999999832e+01 6.060329999999999624e-04
1.265029999999999974e-02 2.453319999999999936e+02 1.587819999999999965e+01 6.086159999999999747e-04
1.272080000000000086e-02 1.781396666328794822e+02 1.841169539249290832e+00 2.772029999999999980e-03
1.275130000000000013e-02 2.178069999999999879e+02 1.518280000000000030e+01 6.111110000000000110e-04
1.285140000000000067e-02 2.193240000000000123e+02 1.503630000000000067e+01 6.135529999999999717e-04
1.295179999999999942e-02 2.062729999999999961e+02 1.526009999999999955e+01 6.168589999999999837e-04
1.305289999999999923e-02 1.840279999999999916e+02 1.497680000000000078e+01 6.200659999999999549e-04
1.315410000000000017e-02 1.681189999999999998e+02 1.463679999999999914e+01 6.231589999999999742e-04
1.321379999999999950e-02 1.739716174151188568e+02 1.838884185892294409e+00 2.772689999999999964e-03
1.325490000000000002e-02 1.478249999999999886e+02 1.544200000000000017e+01 6.261339999999999788e-04
1.335440000000000065e-02 1.434029999999999916e+02 1.532380000000000031e+01 6.289680000000000401e-04
1.345479999999999940e-02 1.348660000000000139e+02 1.553700000000000081e+01 6.317319999999999750e-04
1.355589999999999920e-02 1.292330000000000041e+02 1.462529999999999930e+01 6.344239999999999689e-04
1.365719999999999955e-02 1.279650000000000034e+02 1.440939999999999976e+01 6.370300000000000181e-04
1.369650000000000034e-02 1.637120132374587911e+02 1.714550080636642049e+00 2.778160000000000004e-03
1.375720000000000068e-02 1.230280000000000058e+02 1.508220000000000027e+01 6.395209999999999914e-04
1.385809999999999993e-02 1.149380000000000024e+02 1.533179999999999943e+01 6.428500000000000403e-04
1.395820000000000047e-02 9.117350000000000421e+01 1.557869999999999955e+01 6.461029999999999768e-04
1.405900000000000032e-02 1.010589999999999975e+02 1.548119999999999941e+01 6.492660000000000141e-04
1.416070000000000002e-02 9.854070000000000107e+01 1.645080000000000098e+01 6.523500000000000002e-04
1.418329999999999938e-02 1.539829375176729798e+02 1.598341676205866868e+00 2.785500000000000215e-03
1.467620000000000036e-02 1.435337941131826369e+02 1.479412613016762190e+00 2.791819999999999979e-03
1.517549999999999975e-02 1.392269912987472367e+02 1.424029069559703986e+00 2.797309999999999901e-03
1.566930000000000059e-02 1.363784615787763812e+02 1.412683922537470549e+00 2.802030000000000059e-03
1.615410000000000110e-02 1.344077977514931490e+02 1.368282771601535108e+00 2.806100000000000174e-03
1.664480000000000126e-02 1.371293633960752913e+02 1.353727247244473020e+00 2.809739999999999807e-03
1.713270000000000071e-02 1.365054256541650943e+02 1.336387582091387083e+00 2.812970000000000140e-03
1.761940000000000034e-02 1.367593538049424922e+02 1.307031674089013329e+00 2.815859999999999891e-03
1.811350000000000113e-02 1.395380532834495853e+02 1.309217269958204533e+00 2.818510000000000199e-03
1.860919999999999935e-02 1.348594271053758007e+02 1.261143229698524548e+00 2.820909999999999824e-03
1.910519999999999927e-02 1.302515380550186421e+02 1.212089752285846034e+00 2.823099999999999828e-03
1.959359999999999921e-02 1.258504190702944925e+02 1.209378162390044364e+00 2.825069999999999838e-03
2.007569999999999841e-02 1.148172409190161147e+02 1.117809857447205513e+00 2.826850000000000109e-03
2.056670000000000026e-02 1.022450767967760896e+02 1.009591120903390982e+00 2.835869999999999884e-03
2.106009999999999827e-02 9.193468698896055002e+01 9.431979783376265303e-01 2.844189999999999913e-03
2.155340000000000034e-02 7.889456956028789136e+01 8.557995363850536830e-01 2.851659999999999785e-03
2.204499999999999862e-02 6.731073007632363669e+01 7.698321609393622422e-01 2.858400000000000090e-03
2.253410000000000135e-02 5.794295783964395241e+01 7.093047586565559559e-01 2.864499999999999859e-03
2.302869999999999917e-02 5.237875723573399966e+01 6.587512913817851201e-01 2.870129999999999817e-03
2.351999999999999924e-02 4.563950411410159091e+01 6.130396898105877623e-01 2.875250000000000201e-03
2.400769999999999987e-02 4.304417703590592481e+01 5.842868611663102341e-01 2.879930000000000163e-03
2.449930000000000163e-02 4.034147462538152951e+01 5.572108652034163390e-01 2.884279999999999917e-03
2.499060000000000170e-02 3.744769128139713388e+01 5.292089383764376764e-01 2.888309999999999836e-03
2.548129999999999840e-02 3.517439951156238465e+01 5.101416549118126254e-01 2.892039999999999802e-03
2.596769999999999981e-02 3.336806347328224120e+01 4.967070419631822165e-01 2.895490000000000130e-03
2.645650000000000085e-02 3.166529384506916145e+01 4.782183519278285222e-01 2.898720000000000029e-03
2.695169999999999857e-02 2.924218446627574508e+01 4.454380414349707884e-01 2.904369999999999868e-03
2.744550000000000115e-02 2.699083934375819283e+01 4.295194670399855585e-01 2.914439999999999913e-03
2.793709999999999943e-02 2.415990321709120536e+01 4.032360896620182933e-01 2.923680000000000116e-03
2.842149999999999885e-02 2.180635201388574274e+01 3.890161132184834503e-01 2.932099999999999984e-03
2.891000000000000167e-02 2.035297610518619038e+01 3.657100434083812579e-01 2.939989999999999964e-03
2.940660000000000149e-02 1.884636597344866615e+01 3.495175893650576682e-01 2.947430000000000015e-03
2.989740000000000106e-02 1.783156025659181054e+01 3.440372757395295245e-01 2.954290000000000041e-03
3.038700000000000082e-02 1.631252578319124424e+01 3.226946146666884174e-01 2.960690000000000197e-03
3.087950000000000070e-02 1.552888537216710851e+01 3.132829491353743001e-01 2.966710000000000007e-03
3.137120000000000186e-02 1.489986906724135629e+01 3.096554041242685074e-01 2.972359999999999846e-03
3.185980000000000062e-02 1.365308184692428384e+01 2.943607674711935518e-01 2.977630000000000207e-03
3.234429999999999944e-02 1.326702036911734695e+01 2.933423342093255948e-01 2.982559999999999985e-03
3.283559999999999951e-02 1.239758851858055699e+01 2.752581154427102827e-01 2.987280000000000144e-03
3.333429999999999727e-02 1.178734475908727930e+01 2.671061149165026571e-01 2.991800000000000188e-03
3.382809999999999984e-02 1.143021295274390958e+01 2.660323615932153607e-01 3.001199999999999875e-03
3.431560000000000166e-02 1.080282904307315661e+01 2.580971068814213454e-01 3.011949999999999784e-03
3.480239999999999723e-02 1.032090968834774714e+01 2.492286662155203947e-01 3.022009999999999887e-03
3.529510000000000286e-02 9.596307572379357609e+00 2.370546251582492381e-01 3.031579999999999865e-03
3.578939999999999899e-02 9.338933253841400273e+00 2.383351485471695563e-01 3.040619999999999955e-03
3.627890000000000281e-02 8.955791949768402205e+00 2.311308441551133686e-01 3.049050000000000198e-03
3.677119999999999694e-02 8.693865062241505015e+00 2.272457434482190730e-01 3.057049999999999958e-03
3.726410000000000139e-02 8.831865943326500101e+00 2.252079700382303706e-01 3.064630000000000045e-03
3.775209999999999677e-02 8.470208774581776012e+00 2.214072097528442251e-01 3.071739999999999887e-03
3.824059999999999959e-02 8.177075931096842609e+00 2.177116482727801672e-01 3.078490000000000133e-03
3.873159999999999797e-02 8.030006187484083569e+00 2.144414164452682625e-01 3.084939999999999991e-03
3.922620000000000273e-02 7.634930260324547469e+00 2.074030722374701763e-01 3.091120000000000152e-03
3.971920000000000311e-02 7.438417078210417088e+00 2.048574425259266640e-01 3.096980000000000045e-03
4.020449999999999718e-02 7.135235935044720534e+00 2.007283894170354688e-01 3.102919999999999897e-03
4.069409999999999694e-02 6.998840242627140995e+00 1.964379105551500304e-01 3.115140000000000183e-03
4.118770000000000070e-02 6.851888394227243495e+00 1.953559952555877222e-01 3.126799999999999892e-03
4.167860000000000315e-02 6.695105898847249826e+00 1.950639778821937065e-01 3.137780000000000170e-03
4.216840000000000171e-02 6.466253152959110295e+00 1.901332373258481090e-01 3.148170000000000048e-03
4.265769999999999978e-02 6.052622333067769311e+00 1.818433900892185151e-01 3.158049999999999920e-03
4.314939999999999748e-02 5.936704132237881737e+00 1.824101939972038178e-01 3.167479999999999862e-03
4.364189999999999736e-02 5.620663342007814478e+00 1.797865720679215074e-01 3.176480000000000189e-03
4.413079999999999781e-02 5.522429423107068303e+00 1.763349629898543214e-01 3.184999999999999897e-03
4.462270000000000125e-02 5.446323528774068556e+00 1.722086305397214356e-01 3.193189999999999831e-03
4.511690000000000145e-02 5.331711244148179318e+00 1.702588250962520366e-01 3.201049999999999989e-03
4.560770000000000102e-02 5.183662063382422858e+00 1.687116771490154155e-01 3.208509999999999921e-03
4.609599999999999809e-02 5.003246112255074429e+00 1.672851450733980616e-01 3.215620000000000197e-03
4.658160000000000078e-02 4.888298279715659334e+00 1.642189626527608415e-01 3.222399999999999830e-03
4.707139999999999935e-02 4.707029855510700855e+00 1.610267230429877072e-01 3.231809999999999891e-03
4.756459999999999855e-02 4.484978756518385623e+00 1.583350846447471871e-01 3.244739999999999864e-03
4.805700000000000249e-02 4.568775046274929252e+00 1.562428980595919059e-01 3.257059999999999990e-03
4.855090000000000100e-02 4.464573815830915393e+00 1.555228303748873997e-01 3.268849999999999794e-03
4.904229999999999701e-02 4.257350307071494200e+00 1.550285773671242207e-01 3.280060000000000007e-03
4.953140000000000320e-02 4.239466510166742808e+00 1.533961821121266056e-01 3.290729999999999957e-03
5.002100000000000296e-02 4.286189289909786204e+00 1.536836650542567351e-01 3.300959999999999919e-03
5.050940000000000291e-02 4.048984121633576017e+00 1.487139283890417385e-01 3.310749999999999891e-03
5.100190000000000279e-02 3.918474120996515708e+00 1.460286381945706813e-01 3.320210000000000088e-03
5.149480000000000030e-02 3.954160095043269152e+00 1.466308106664142297e-01 3.329309999999999822e-03
5.198350000000000193e-02 3.860097852905294946e+00 1.458436333990042744e-01 3.337979999999999940e-03
5.247290000000000287e-02 3.676897760981923557e+00 1.425026644437757950e-01 3.346319999999999850e-03
5.296349999999999669e-02 3.459362955528434203e+00 1.391399302184807008e-01 3.354370000000000181e-03
5.345629999999999826e-02 3.556553955238487497e+00 1.386783251158174857e-01 3.362159999999999888e-03
5.394979999999999914e-02 3.507192136499864610e+00 1.401375050965348035e-01 3.374859999999999926e-03
5.443980000000000347e-02 3.472648839131609488e+00 1.397829125716991971e-01 3.388250000000000203e-03
5.493119999999999947e-02 3.395808366933860345e+00 1.367067544022814440e-01 3.401139999999999979e-03
5.542009999999999992e-02 3.260174458968613465e+00 1.359413424049381314e-01 3.413439999999999790e-03
5.590830000000000105e-02 3.185365411977083561e+00 1.328198399228815718e-01 3.425249999999999909e-03
5.639919999999999656e-02 3.155565129710849348e+00 1.325523084783125083e-01 3.436670000000000176e-03
5.688780000000000225e-02 3.192212403185545444e+00 1.324235306304182846e-01 3.447609999999999824e-03
5.737980000000000164e-02 3.137273233992347699e+00 1.290462862250787435e-01 3.458220000000000131e-03
5.787609999999999977e-02 3.087884208666141994e+00 1.289302047847233346e-01 3.468530000000000051e-03
5.836940000000000184e-02 3.089462190745972947e+00 1.280750110483551418e-01 3.478409999999999922e-03
5.885930000000000328e-02 2.982086858417240194e+00 1.285565676485794506e-01 3.487880000000000060e-03
5.934690000000000104e-02 2.929750452769511071e+00 1.262140804576578623e-01 3.496990000000000168e-03
5.983739999999999892e-02 2.924381686153074700e+00 1.255656567869226914e-01 3.505830000000000144e-03
6.032880000000000187e-02 2.953148118091143637e+00 1.269078484410318675e-01 3.515449999999999825e-03
6.081770000000000231e-02 2.845283067185912174e+00 1.249081642536597619e-01 3.529819999999999919e-03
6.131110000000000032e-02 2.683920796229397165e+00 1.200291162137224199e-01 3.543779999999999847e-03
6.169279999999999903e-02 2.739335957021096224e+00 4.979549025618015823e-02 5.309580000000000376e-03
6.180469999999999714e-02 2.810594668017212250e+00 1.217794066815809928e-01 3.557230000000000201e-03
6.228650000000000159e-02 2.813723425589291338e+00 1.248211031733932330e-01 3.569899999999999983e-03
6.277699999999999947e-02 2.851422687117208810e+00 1.292213152718645897e-01 3.582350000000000204e-03
6.326479999999999604e-02 2.669564786847945737e+00 1.327228030938344960e-01 3.594299999999999926e-03
6.375899999999999623e-02 2.687874820291502154e+00 1.386184706231342323e-01 3.605999999999999830e-03
6.424960000000000393e-02 2.645369061623869644e+00 1.395843044823411594e-01 3.617229999999999925e-03
6.451010000000000078e-02 2.590878570002819181e+00 4.517749534535785150e-02 5.354079999999999777e-03
6.473779999999999812e-02 2.661139813559652456e+00 1.471568046930245843e-01 3.628029999999999970e-03
6.522899999999999532e-02 2.598156563304327538e+00 1.487121146165361896e-01 3.638549999999999944e-03
6.572260000000000602e-02 2.559994789787493730e+00 1.533290725294211565e-01 3.648789999999999846e-03
6.621000000000000496e-02 2.333255088868324556e+00 1.553750079156848429e-01 3.658579999999999818e-03
6.670109999999999928e-02 2.435588133631619634e+00 1.573774127618152441e-01 3.668149999999999796e-03
6.719540000000000235e-02 2.295982063879211665e+00 1.560216178139144372e-01 3.680660000000000095e-03
6.732009999999999383e-02 2.387663416226543767e+00 4.039792456119543906e-02 5.391169999999999816e-03
6.768849999999999867e-02 2.479544910303694394e+00 1.590515247844405955e-01 3.695509999999999941e-03
6.817760000000000487e-02 2.419327663119338112e+00 1.661542579161857935e-01 3.709759999999999881e-03
6.866200000000000081e-02 2.302167028123147219e+00 1.654341902314812873e-01 3.723409999999999914e-03
6.915440000000000476e-02 2.243718209131704722e+00 1.656083123920143729e-01 3.736830000000000013e-03
6.964940000000000020e-02 2.104683477718546136e+00 1.701717640159855216e-01 3.749890000000000081e-03
7.011620000000000352e-02 2.353504999820364318e+00 3.914550923578959812e-02 5.444870000000000092e-03
7.289769999999999583e-02 2.268356222940521416e+00 3.725919858091925052e-02 5.498280000000000355e-03
7.569760000000000377e-02 2.173793426061397138e+00 3.536299736062463450e-02 5.543949999999999746e-03
7.853499999999999370e-02 2.090946453498474966e+00 3.393875593952989933e-02 5.591419999999999724e-03
8.132240000000000302e-02 2.033922848116008097e+00 3.333498187749384806e-02 5.654099999999999578e-03
8.411380000000000245e-02 1.944745913681553917e+00 3.151637663866417582e-02 5.708089999999999865e-03
8.693059999999999676e-02 1.919111366386471396e+00 3.160062627323271395e-02 5.755399999999999926e-03
8.969009999999999483e-02 1.870386844537277327e+00 3.076847006412718188e-02 5.818659999999999805e-03
9.246010000000000340e-02 1.887254754297212234e+00 3.058324674799995854e-02 5.880550000000000013e-03
9.525210000000000621e-02 1.806556731858290465e+00 2.921726974867728741e-02 5.935270000000000302e-03
9.806209999999999927e-02 1.786317038430991211e+00 2.829924544884286630e-02 5.992189999999999669e-03
1.008570000000000022e-01 1.811771757263814342e+00 2.882803104211673767e-02 6.062650000000000157e-03
1.036509999999999931e-01 1.779276754133534144e+00 2.780615580532749820e-02 6.124830000000000378e-03
1.064760000000000012e-01 1.757382638853447920e+00 2.748687037058586760e-02 6.180760000000000420e-03
1.092749999999999971e-01 1.751718042292275568e+00 2.725704959581830983e-02 6.253169999999999736e-03
1.120529999999999998e-01 1.748571044202735569e+00 2.669472599433305587e-02 6.322079999999999887e-03
1.148269999999999985e-01 1.728565127776373389e+00 2.662558195059430352e-02 6.383699999999999965e-03
1.176240000000000063e-01 1.739525672551085922e+00 2.621422434317584316e-02 6.448950000000000168e-03
1.204100000000000031e-01 1.710420435934396188e+00 2.585366827634567530e-02 6.524979999999999669e-03
1.232110000000000011e-01 1.699954419430897090e+00 2.519729438909873442e-02 6.593759999999999726e-03
1.260120000000000129e-01 1.705088522028403997e+00 2.533036745117071831e-02 6.655949999999999887e-03
1.287889999999999868e-01 1.685747970912401694e+00 2.455602609268158973e-02 6.734470000000000213e-03
1.315910000000000135e-01 1.724384116028841341e+00 2.483790720727324999e-02 6.809499999999999581e-03
1.343860000000000054e-01 1.704701890834546152e+00 2.430804264322582176e-02 6.877470000000000111e-03
1.371829999999999994e-01 1.687708101151029538e+00 2.390657560123163328e-02 6.949849999999999604e-03
1.400029999999999886e-01 1.699262079851198148e+00 2.371352974699613217e-02 7.031289999999999936e-03
1.428210000000000035e-01 1.679651786041806760e+00 2.329938479841264787e-02 7.105430000000000253e-03
1.456119999999999914e-01 1.690243682468887565e+00 2.340602307653249364e-02 7.172630000000000151e-03
1.483849999999999891e-01 1.702130343824236336e+00 2.340134753651374952e-02 7.256989999999999622e-03
1.511850000000000138e-01 1.730624163669243876e+00 2.314635077702987057e-02 7.348979999999999749e-03
1.539999999999999980e-01 1.689560334312301793e+00 2.242946461223262883e-02 7.485819999999999801e-03
1.567939999999999889e-01 1.679606828926241802e+00 2.245509016810460015e-02 7.621600000000000076e-03
1.596059999999999979e-01 1.657119279720699501e+00 2.187936934618101709e-02 7.758290000000000151e-03
1.624069999999999958e-01 1.636528920791994191e+00 2.183683991485665943e-02 7.704410000000000078e-03
1.651980000000000115e-01 1.656615760026373119e+00 2.177848557885347230e-02 7.836849999999999372e-03
1.679859999999999964e-01 1.675497748563613776e+00 2.206782957462890757e-02 7.685499999999999624e-03
1.707490000000000119e-01 1.658090353416900475e+00 2.152294933398281318e-02 7.811870000000000272e-03
1.735530000000000128e-01 1.702777726288370319e+00 2.164289491830986151e-02 7.940189999999999748e-03
1.763639999999999930e-01 1.666299522719043802e+00 2.108650565607916513e-02 8.068769999999999415e-03
1.791560000000000097e-01 1.666335488411495591e+00 2.109828442035715720e-02 8.196530000000000482e-03
